"","Head","Tail","Freq"
"289","IGHG1","IGHV4-61",6
"290","IGHG2","IGHV4-61",2
"291","IGHG1","IGHV5-51",2
"292","IGHA1","IGHV@",1
"293","IGHG1","IGHV@",9
"294","IGHG2","IGHV@",1
"295","IGLC3","IGLV1-40",2
"296","IGLC3","IGLV1-44",2
"297","IGLC3","IGLV1-47",1
"298","IGLC3","IGLV3-19",1
"299","IGLC1","IGLV3-21",1
"300","GALT","IL11RA",66
"301","C15orf26","IL16",36
"302","CECR7","IL17RA",12
"303","JAK3","INSL3",35
"304","TM9SF1","IPO4",2
"305","ACTG1","IRS2",3
"306","TMSB4Y","KALP",19
"307","ACSL4","KCNE1L",4
"308","BTBD8","KIAA1107",8
"309","JUND","KIAA1683",1
"310","PEX13","KIAA1841",2
"311","GRN","KIAA1949",12
"312","GKAP1","KIF27",164
"313","CFD","KLF16",1
"314","TPM4","KLF2",16
"315","GDI2","KLF8",10
"316","KLRC4","KLRK1",20
"317","RPL27","LAPTM5",3
"318","MAP2K5","LBXCOR1",12
"319","KSR1","LGALS9",296
"320","PSAP","LGALS9",40
"321","TPT1","LHCGR",29
"322","PSENEN","LIN37",1
"323","UCHL3","LMO7",28
"324","RAC1","LMOD3",5
"325","RPS19","LMOD3",8
"326","S100A9","LMOD3",8
"327","GMIP","LPAR2",2
"328","ACRBP","LPAR5",8
"329","BPTF","LRRC37A",140
"330","KIAA1267","LRRC37A",40
"331","NSF","LRRC37A",48
"332","BPTF","LRRC37A2",104
"333","KIAA1267","LRRC37A2",16
"334","NSF","LRRC37A2",16
"335","BPTF","LRRC37A3",64
"336","KIAA1267","LRRC37A3",2
"337","NSF","LRRC37A3",16
"338","BPTF","LRRC37B",44
"339","KIAA1267","LRRC37B",2
"340","GEMIN7","LRRC68",6
"341","LRRC8B","LRRC8C",6
"342","IGHG1","LY6E",2
"343","CCL5","LYZ",2
"344","CD68","LYZ",4
"345","HLA-E","LYZ",32
"346","KIAA0101","LYZ",1
"347","LRRC37B2","LYZ",2
"348","NUP62","LYZ",3
"349","RAB27A","LYZ",3
"350","SIRPB2","LYZ",2
"351","TM7SF3","LYZ",2
"352","TNFRSF1B","LYZ",1
"353","TPM4","LYZ",3
"354","PARL","MAP6D1",4
"355","C20orf29","MAVS",142
"356","ATP11C","MCF2",16
"357","DNMT3B","MDM4",42
"358","RUNX1","MECOM",30
"359","MLL","MLLT10",122
"360","PICALM","MLLT10",28
"361","UGCG","MMADHC",2
"362","HSPE1","MOBKL3",16
"363","HERC2","MPHOSPH10",24
"364","AEBP2","MPHOSPH8",8
"365","KAT2A","MPO",4
"366","RN28S1","MPO",12
"367","MS4A7","MS4A14",79
"368","TPT1","MT-ATP8",12
"369","CHD1","MTOR",3
"370","C16orf53","MVP",85
"371","ACTB","MXD3",5
"372","LMAN2","MXD3",26
"373","CBFB","MYH11",110
"374","CALR","MYH9",4
"375","GNB2L1","MYO10",24
"376","RPL36A","MYO10",20
"377","TPT1","MYO10",30
"378","CREBBP","MYST3",9
"379","PRIM1","NACA",44
"380","CAMK2G","NDST2",42
"381","TRGC1","NDUFA10",1
"382","E2F1","NECAB3",2
"383","ELANE","NEDD9",1
"384","CFD","NEGR1",1
"385","CST3","NEGR1",7
"386","FBL","NEGR1",1
"387","IGHA1","NEGR1",5
"388","TPT1","NFATC3",3
"389","RN28S1","NFE2",2
"390","NCSTN","NHLH1",8
"391","SUGT1P","NOL6",367
"392","GAPDH","NOL9",10
"393","PPRC1","NOLC1",24
"394","RN28S1","NONO",4
"395","DDX56","NPC1L1",32
"396","STX16","NPEPL1",40
"397","XPO7","NPM2",9
"398","NUP98","NSD1",60
"399","SIRPB2","NSFL1C",1370
"400","CD53","NT5C2",2
"401","FTH1","NT5C2",9
"402","GNPTAB","NT5C2",3
"403","HBB","NT5C2",6
"404","IRF8","NT5C2",15
"405","MAFB","NT5C2",6
"406","MCL1","NT5C2",6
"407","RPL30","NT5C2",201
"408","RPL39","NT5C2",3
"409","RPS28","NT5C2",27
"410","S100A6","NT5C2",18
"411","PTCD3","NUDT15",2
"412","C11orf59","NUMA1",12
"413","ADCK4","NUMBL",48
"414","NSD1","NUP98",42
"415","RPL4","OAZ1",2
"416","MIR181A2HG","OBP2B",4
"417","TRIM58","OR2T8",1
"418","TRIM58","OR2W3",113
"419","MLYCD","OSGIN1",1
"420","ECD","P4HA1",19
"421","RN28S1","PABPC1",3
"422","SRGN","PABPC1",10
"423","BCL2L2","PABPN1",6
"424","SMG5","PAQR6",673
"425","PCBP2P1","PCBP2",3
"426","PRR13","PCBP2",525
"427","TASP1","PDCD6IP",12
"428","NMU","PDCL2",1
"429","RPL39","PDLIM3",5
"430","CHCHD2","PHKG1",7
"431","TRGC1","PHLDB2",1
"432","MLLT10","PICALM",24
"433","KIAA0753","PITPNM3",2
"434","FUT4","PIWIL4",203
"435","NFATC3","PLA2G15",33
"436","ZFP36","PLEKHG2",7
"437","VPS45","PLEKHO1",62
"438","C10orf112","PLXDC2",29
"439","RARA","PML",124
"440","PBXIP1","PMVK",3
"441","DDX5","POLG2",2
"442","DEF6","PPARD",10
"443","RPL30","PPIL3",11
"444","TPT1","PPP1CA",20
"445","STX12","PPP1R8",14
"446","MLLT10","PPP2R1B",24
"447","CNRIP1","PPP3R1",20
"448","SLC43A3","PRG2",12
"449","TAS2R14","PRH1",41
"450","BCL2L12","PRMT1",6
"451","HAUS4","PRMT5",40
"452","PRH1","PRR4",46
"453","TAS2R14","PRR4",82
"454","ACTB","PRRG3",4
"455","RPL39","PRRT2",6
"456","TMEM111","PRRT3",8
"457","VKORC1","PRSS53",8
"458","ELANE","PRTN3",2
"459","KIAA0391","PSMA6",2
"460","ZMYM5","PSPC1",32
"461","CALCOCO2","PSPH",4
"462","ACTB","PTEN",1
"463","CALR","PTMA",12
"464","NOP58","PTMA",16
"465","RN28S1","PTMA",8
"466","NUP210","PTPLAD1",1
"467","SNUPN","PTPN9",4
"468","RUNX1","PWWP2B",20
"469","CTSC","RAB38",26
"470","TCEANC","RAB9A",1
"471","DHRS1","RABGGTA",22
"472","GBGT1","RALGDS",167
"473","RPS29","RAP1A",37
"474","PML","RARA",836
"475","LRRFIP1","RBM44",12
"476","VTI1B","RDH11",4
"477","BLOC1S1","RDH5",13
"478","BPTF","RDM1",204
"479","KLF16","REXO1",34
"480","C9orf43","RGS3",57
"481","ACTB","RN28S1",5
"482","ADRBK1","RN28S1",4
"483","B2M","RN28S1",1
"484","CALR","RN28S1",2
"485","CD74","RN28S1",3
"486","EDEM1","RN28S1",1
"487","ELANE","RN28S1",3
"488","FAM119A","RN28S1",1
"489","GAPDH","RN28S1",8
"490","HBA1","RN28S1",1
"491","HBA2","RN28S1",2
"492","MPO","RN28S1",2
"493","OAZ1","RN28S1",1
"494","PFN1","RN28S1",1
"495","RPL3","RN28S1",15
"496","RPL31","RN28S1",4
"497","RPL37","RN28S1",5
"498","RPS12","RN28S1",2
"499","RSPO1","RN28S1",18
"500","SRGN","RN28S1",1
"501","TPT1","RN28S1",8
"502","VIM","RN28S1",3
"503","MKNK2","RNF126",4
"504","RPL7A","RNF130",18
"505","ADAP2","RNF135",12
"506","FCF1","RNF217",2
"507","RFC1","RNF217",6
"508","ERG","RPL11",12
"509","ELANE","RPL13",5
"510","RN28S1","RPL15",4
"511","CRKRS","RPL19",3
"512","GAPDH","RPL23",33
"513","RN28S1","RPL28",3
"514","HBG1","RPL8",9
"515","HBG2","RPL8",15
"516","RN28S1","RPLP0",2
"517","RPS3","RPLP1",9
"518","FTL","RPN1",5
"519","MECOM","RPN1",8
"520","EEF2","RPS14",3
"521","ARL6IP1","RPS15A",7
"522","GAPDH","RPS18",36
"523","SRGN","RPS2",2
"524","DEFA1","RPS20",12
"525","DEFA1B","RPS20",6
"526","DEFA3","RPS20",2
"527","RPLP1","RPS3",6
"528","TPT1","RPS4X",2
"529","NACA","RPS6",15
"530","RPL37A","RPS6",8
"531","RN28S1","RPS8",4
"532","STIM1","RRM1",2
"533","BANP","RUNDC2B",75
"534","RUNX1","RUNX1T1",178
"535","NUCB1","RUVBL2",8
"536","LYZ","SAMHD1",3
"537","DNAJC14","SARNP",4
"538","BCL11A","SBK1",3
"539","HOXB3","SBK1",2
"540","NCOR2","SCARB1",39
"541","KLHL22","SCARF2",6
"542","TNFAIP8L2","SCNM1",575
"543","FKBP1A","SDCBP2",5
"544","NDUFB8","SEC31B",5362
"545","DHTKD1","SEC61A2",89
"546","TNFSF12-TNFSF13","SENP3",1
"547","TNFSF13","SENP3",6
"548","MTMR11","SF3B4",8
"549","NDUFS5","SGOL1",6
"550","ADSL","SGSM3",975
"551","RN28S1","SH3BGRL3",1
"552","SIRPB1","SIRPD",277
"553","EAF2","SLC15A2",218
"554","BAIAP2L2","SLC16A8",3
"555","SLC17A3","SLC17A1",16
"556","S100A10","SLC25A37",1
"557","ARMC6","SLC25A42",6
"558","LRRC69","SLC26A7",4
"559","FAM117A","SLC35B1",1508
"560","MED26","SLC35E1",15
"561","DCTN1","SLC4A5",2323
"562","ARHGAP19","SLIT1",104
"563","ELAC1","SMAD4",4
"564","SRGN","SNHG5",3
"565","IRGM","SNRK",1
"566","RUNDC2A","SNX29",3
"567","PTGR1","SNX30",6
"568","hsa-mir-1977","SOD1",4
"569","SPNS3","SPNS2",4
"570","SRGAP2P2","SRGAP2",9
"571","SRGAP2P2","SRGAP2P1",3
"572","ACTB","SRGN",5
"573","B2M","SRGN",3
"574","C9orf69","SRGN",1
"575","RPL14","SRGN",3
"576","RPL19","SRGN",1
"577","RPS3","SRGN",5
"578","TPT1","SRGN",50
"579","P4HB","SSU72",10
"580","ST6GALNAC4","ST6GALNAC6",13
"581","TPT1","STAB1",15
"582","R3HDM2","STAC3",10
"583","RPS5","STAG2",9
"584","RPLP1","STK4",3
"585","LSM10","STK40",9
"586","KLRAQ1","STON1",31
"587","MED22","SURF6",2
"588","FARSA","SYCE2",2
"589","SRGAP3","SYNJ2",10
"590","TPP1","TAF10",5
"591","SIDT2","TAGLN",56
"592","DEXI","TASP1",24
"593","BCO2","TBC1D8B",9
"594","HBG2","TBCD",16
"595","DDX20","TBX15",3
"596","SFT2D2","TBX19",70
"597","RPL11","TCEB3",15
"598","KLHL33","TEP1",64
"599","ARMC5","TGFB1I1",6
"600","ACTB","TK2",18
"601","PRMT1","TLE6",44
"602","HCK","TM9SF4",48
"603","GPM6A","TMBIM6",2
"604","C14orf148","TMED8",2
"605","STYXL1","TMEM120A",627
"606","CSF3R","TMEM14B",15
"607","MLL","TMEM25",15
"608","SAPS1","TMEM86B",20
"609","ZW10","TMPRSS5",1
"610","ZBTB7A","TNK1",1
"611","C19orf51","TNNI3",4
"612","LSP1","TNNT3",284
"613","ZDHHC1","TPPP3",2
"614","CALR","TPT1",3
"615","CYBA","TPT1",3
"616","C19orf59","TRAPPC5",15
"617","TRBV20-1","TRBC1",1
"618","TRBV2","TRBC2",4
"619","TRBV20-1","TRBC2",20
"620","SLC2A5","TRBV6-5",1
"621","TRGJP1","TRGC1",32
"622","TRIM34","TRIM22",9
"623","TRIM6-TRIM34","TRIM22",18
"624","ANXA7","TTC18",4
"625","PRKAA1","TTC33",206
"626","FLVCR2","TTLL5",5
